unique_id,Name,Address,City,State,is_closed
NABJXMSD,Park Row Medical & Dental,801 W PARK ROW DR,ARLINGTON,TX,N
YECTHKFX,Hssw Power Ferry Retail Llc,6370 POWERS FERRY RD,ATLANTA,GA,N
QMEJLAZN,WILDERNESS ARCHERY,127 S SAINT AUGUSTINE ST,PULASKI,WI,Y
YAPDJZVG,LASTING IMPRESSIONS,504 MAJOR LN,NEOSHO,MO,N
GNWIJBTF,community health works,105 PATROL RD,FORSYTH,GA,N
EFHSDNMX,Frankey Lock & Safe,2829 BIRD AVE,MIAMI,FL,Y
UBLVPTFC,Smith W H,100 IBERVILLE ST,NEW ORLEANS,LA,N
JCFDHUMV,Webbed Foot Photography,10817 WALNUT ST,LOS ALAMITOS,CA,N
HDGBCQMN,Sarah R. Armstrong LMT  Licensed Massage Therapist & Scentsy Consultant,70 CENTER ST,ADAMS,MA,Y
CNEPQGDX,Tre AMICI @ the Ybor Bunker,1907 N 19TH ST,TAMPA,FL,N
JZOMAKFC,Gerken Robert J DC,621 W PINHOOK RD,LAFAYETTE,LA,Y
HLZXVMOU,Home,4707 N 79TH DR,PHOENIX,AZ,N
CTONYHAG,Casa de Fitness,3805 N OAK TRFY,KANSAS CITY,MO,Y
HNLGEPDR,Mid Pac Petroleum,511 W KAWAILANI ST,HILO,HI,Y
FNTZLHQD,EAST AV PAYPHONE,211 EAST AVE,NORWALK,CT,N
COJWNEFD,COMPUTER TECHNOLOGY SERVI,160 S PINE HARBOUR DR,COLDSPRING,TX,N
IBPSKTDZ,Farmers Insurance Group,625 N A ST,OXNARD,CA,N
SLWDENXC,James D Hudson,14126 ROCK DOVE LN,HOUSTON,TX,Y
XPVKRUFG,Electric Myers,425 W LA CADENA DR,RIVERSIDE,CA,Y
NUAZDCVF,Pennywise Transport Inc,6275 S COUNTY ROAD 57,ALVADA,OH,N
WPJHVADN,Nadeau,2726 MAGAZINE ST,NEW ORLEANS,LA,Y
OETZRLND,Fenton Parkway Trolley Station,2288 FENTON PKWY,SAN DIEGO,CA,N
XKVLDUPI,Buckley's Carpet & Vinyl,1801 LINCOLN LN,BROOKINGS,SD,Y
NDYAWEOX,Edwards Construction,3328 GA HIGHWAY 33 S,MOULTRIE,GA,Y
OLVNACEP,Watson Hardwood Floors,8 PARTRIDGE HILL RD,WESTON,MA,N
WCPUFYGD,Trout - Bar & Grille,,,,Y
LIKBOWAH,- CLOSED,102 SMITH ST,BROOKLYN,NY,N
KWOPTMJD,GLENN O HAWBAKER INC.,885 SULPHUR SPRINGS RD,SOUTH WILLIAMSPORT,PA,N
QUIVKDGF,Ftg,1200 E ADMIRAL DOYLE DR,NEW IBERIA,LA,N
MCEKAYGF,R and R Roofing,9651 GEMINI DR,INDIANAPOLIS,IN,N
XUKYAHEQ,Big Vinyl Works,901 HOUSTON ST,MUSKOGEE,OK,N
KGIFPCAS,Jeanne Trifone PsyD,215 W INDIANA AVE,CHESTERTON,IN,N
NYJEDFCG,Schaumburg Limousine,688 E IRVING PARK RD,ROSELLE,IL,Y
BQXAUKVN,Church Of Jesus Christ Of Lds,4020 S BUMBY AVE,ORLANDO,FL,N
VDBOHISK,Madison County Drug Court,475 NEFF CIR # 366,BLACKFOOT,ID,N
YNDJEWMI,Vertex Machine Works,2415 NW 3RD AVE,MINERAL WELLS,TX,N
YGDOKFST,Cayuga County Soil and Water Conservation District,7413 COUNTY HOUSE RD,AUBURN,NY,N
RFAJVLCH,Carrillo-Tibbels Pllc,204 W WALNUT ST,DECATUR,TX,N
TYKCQXSB,Peak Office Furniture,2500 W 8TH AVE,DENVER,CO,N
RKQOZTLY,www.peakofficefurniture.com,,,,N
WTJEDZXM,The Old House,26481 W BEACH ST,ANTIOCH,IL,N
YRFJGVCZ,I'm IT - Technology Support and Services,10 LUPINE AVE,SAN FRANCISCO,CA,N
IDMZGWSA,Dorothy Family Beauty Salon,2483 WATERWOOD DR,CHANDLER,TX,N
FOEJUYTM,K J AUTO BROKERS,2495 LINWOOD AVE,NAPLES,FL,Y
UZFNHMIC,Alexander Nagel,1844 COLUMBIA RD NW,WASHINGTON,DC,N
SEQKMWVX,Holyfield's Place,1326 BISSELL ST,SOUTH BEND,IN,N
XJNWOUML,WHITTINGTON BRIDAL,2665 ROYAL FRST,KINGWOOD,TX,N
EAZHJIMP,Southland Roofing,1208 E WILL ROGERS DR,STILLWATER,OK,N
SHEVKMPQ,Whall Jeffrey D DVM,15529 THOMPSON RD,SILVER SPRING,MD,N
WKBAFTZL,REPUBLIC RISK MANAGEMENT LLC,1101 30TH ST NW STE 220,WASHINGTON,DC,N
PAXIUYGD,M Express Two Corp,1930 OPA LOCKA BLVD,OPA LOCKA,FL,N
UWPKFXYB,Carr Allison,6251 MONROE ST STE 200,DAPHNE,AL,N
PXIQGNBC,Sherlock Homes Realty,6616 W CAMELBACK RD,GLENDALE,AZ,N
UVNJDOMF,SURRAJ PLASTICS COMPANY LTD,10612 TRASK AVE STE C,GARDEN GROVE,CA,N
HZXNPIYM,Shackle Island Church of Christ,3578 LONG HOLLOW PIKE,GOODLETTSVILLE,TN,Y
XJLTWDEK,Fiz Plumbing,8504 FIRESTONE BLVD,DOWNEY,CA,Y
TEWMQCDK,Jiamachello Philip F DDS,221 SIMPSON PARK RD,SHELBY,NC,N
LQJWXCBY,Avero Craft Pizzeria,821 LANCASTER AVE,WAYNE,PA,Y
MDCPKGWF,WYATT & HUDGINGS LLC,190 E HUNTER DR,GLOBE,AZ,Y
TCOILYHZ,Cfi Security Inc,1325 PENDALE RD,EL PASO,TX,N
UXPWGQZO,SHORES COMMUNICATIONS ADVISORY LLC,811 BAY HARBOUR DR,REDWOOD CITY,CA,N
ZWXNPTAM,S M Solutions,49 WOODHAVEN WAY,SICKLERVILLE,NJ,N
JWSOVRFQ,Xtend Consulting Llc,1825 BARRETT LAKES BLVD NW,KENNESAW,GA,N
IJHRAMLO,Handyman Roofing,11327 N BOULEVARD,TAMPA,FL,Y
COVILETA,budget rent a car,5048 S 27TH ST,MILWAUKEE,WI,Y
IYXACKLB,Benet William E Phd Psyd,9141 SW 49TH PL,GAINESVILLE,FL,Y
YBOASFJE,Southern Drains,2454 OAK KNOB RD,LAFAYETTE,TN,Y
